TEAM_ID,TEAM_ABBREV,TEAM_NAME,SEASON,ELO,SEASON_WIN_PCT,SEASON_GOAL_DIFF_PER_GAME,SEASON_AVG_GOALS_FOR,SEASON_AVG_GOALS_AGAINST,ROLLING_WIN_PCT_5,ROLLING_GOAL_DIFF_5,ROLLING_GOALS_FOR_5,ROLLING_GOALS_AGAINST_5,ROLLING_WIN_PCT_10,ROLLING_GOAL_DIFF_10,ROLLING_GOALS_FOR_10,ROLLING_GOALS_AGAINST_10,DAYS_REST,LAST_GAME_DATE,GAMES_PLAYED,WINS,LOSSES
9,OTT,Ottawa Senators,20252026,1553.5,0.5116279069767442,0.3023255813953488,3.2906976744186047,2.988372093023256,0.2,-0.8,1.6,2.4,0.5,0.9,3.1,2.2,7.0,2026-04-25,86,44,42
25,DAL,Dallas Stars,20252026,1536.9,0.5909090909090909,0.5113636363636364,3.340909090909091,2.8295454545454546,0.4,-0.6,2.8,3.4,0.6,-0.3,3.2,3.5,7.0,2026-04-30,88,52,36
6,BOS,Boston Bruins,20252026,1530.9,0.5340909090909091,0.1590909090909091,3.227272727272727,3.0681818181818183,0.4,-1.4,1.8,3.2,0.4,-0.5,2.5,3.0,7.0,2026-05-01,88,47,41
5,PIT,Pittsburgh Penguins,20252026,1511.7,0.48863636363636365,0.22727272727272727,3.4545454545454546,3.227272727272727,0.4,-0.8,1.8,2.6,0.3,-1.0,2.4,3.4,7.0,2026-04-29,88,43,45
29,CBJ,Columbus Blue Jackets,20252026,1504.5,0.4878048780487805,0.0,3.0853658536585367,3.0853658536585367,0.4,-0.6,2.4,3.0,0.2,-1.3,2.1,3.4,7.0,2026-04-14,82,40,42
1,NJD,New Jersey Devils,20252026,1503.2,0.5121951219512195,-0.2926829268292683,2.8048780487804876,3.097560975609756,0.4,-1.6,2.4,4.0,0.5,-0.3,3.1,3.4,7.0,2026-04-14,82,42,40
18,NSH,Nashville Predators,20252026,1477.4,0.4634146341463415,-0.2682926829268293,3.0121951219512195,3.2804878048780486,0.4,0.2,2.8,2.6,0.4,0.0,3.0,3.0,7.0,2026-04-16,82,38,44
68,UTA,Utah Mammoth,20252026,1476.8,0.5113636363636364,0.26136363636363635,3.25,2.9886363636363638,0.4,-0.6,3.2,3.8,0.3,-1.1,2.8,3.9,7.0,2026-05-01,88,45,43
13,FLA,Florida Panthers,20252026,1475.9,0.4878048780487805,-0.3048780487804878,3.0609756097560976,3.3658536585365852,0.6,1.4,4.2,2.8,0.5,0.1,3.6,3.5,7.0,2026-04-15,82,40,42
3,NYR,New York Rangers,20252026,1467.8,0.4146341463414634,-0.14634146341463414,2.902439024390244,3.048780487804878,0.4,0.8,3.4,2.6,0.6,1.6,3.6,2.0,7.0,2026-04-15,82,34,48
24,ANA,Anaheim Ducks,20252026,1464.2,0.5212765957446809,-0.19148936170212766,3.3191489361702127,3.5106382978723403,0.4,-1.2,2.4,3.6,0.5,-0.4,3.0,3.4,7.0,2026-05-14,94,49,45
22,EDM,Edmonton Oilers,20252026,1461.9,0.48863636363636365,0.09090909090909091,3.4431818181818183,3.352272727272727,0.2,-1.2,3.4,4.6,0.4,0.1,3.3,3.2,7.0,2026-04-30,88,43,45
2,NYI,New York Islanders,20252026,1441.3,0.524390243902439,-0.0975609756097561,2.841463414634146,2.9390243902439024,0.2,-1.2,2.0,3.2,0.3,-1.1,2.4,3.5,7.0,2026-04-14,82,43,39
20,CGY,Calgary Flames,20252026,1432.7,0.4146341463414634,-0.573170731707317,2.5853658536585367,3.158536585365854,0.4,-0.4,2.0,2.4,0.4,-0.7,3.0,3.7,7.0,2026-04-16,82,34,48
17,DET,Detroit Red Wings,20252026,1432.6,0.5,-0.2073170731707317,2.9390243902439024,3.1463414634146343,0.2,-1.6,3.2,4.8,0.2,-1.6,2.9,4.5,7.0,2026-04-15,82,41,41
52,WPG,Winnipeg Jets,20252026,1426.4,0.4268292682926829,-0.35365853658536583,2.817073170731707,3.1707317073170733,0.2,-3.2,2.0,5.2,0.5,-1.1,2.6,3.7,7.0,2026-04-16,82,35,47
28,SJS,San Jose Sharks,20252026,1423.7,0.47560975609756095,-0.5,3.0609756097560976,3.5609756097560976,0.4,-0.6,3.0,3.6,0.5,-0.4,3.1,3.5,7.0,2026-04-16,82,39,43
26,LAK,Los Angeles Kings,20252026,1403.9,0.4069767441860465,-0.3488372093023256,2.6744186046511627,3.0232558139534884,0.0,-2.0,1.2,3.2,0.4,-0.4,2.2,2.6,7.0,2026-04-26,86,35,51
55,SEA,Seattle Kraken,20252026,1358.1,0.4146341463414634,-0.45121951219512196,2.7560975609756095,3.207317073170732,0.4,-0.6,2.4,3.0,0.2,-1.9,2.0,3.9,7.0,2026-04-16,82,34,48
16,CHI,Chicago Blackhawks,20252026,1344.6,0.35365853658536583,-0.7560975609756098,2.597560975609756,3.3536585365853657,0.2,-1.8,2.6,4.4,0.2,-1.7,2.5,4.2,7.0,2026-04-15,82,29,53
10,TOR,Toronto Maple Leafs,20252026,1337.7,0.3902439024390244,-0.5609756097560976,3.0853658536585367,3.6463414634146343,0.0,-2.6,2.2,4.8,0.2,-1.9,2.8,4.7,7.0,2026-04-15,82,32,50
23,VAN,Vancouver Canucks,20252026,1302.2,0.3048780487804878,-1.2195121951219512,2.6341463414634148,3.8536585365853657,0.6,-1.0,2.8,3.8,0.4,-1.2,3.1,4.3,7.0,2026-04-16,82,25,57
