GAME_PK,GAME_DATE,SEASON,GAME_TYPE,HOME_TEAM,AWAY_TEAM,HOME_WIN,HOME_ELO_WIN_PROB,HOME_PARK_RUN_FACTOR,DIFF_ELO,DIFF_SEASON_WIN_PCT,DIFF_SEASON_RUN_DIFF_PER_GAME,DIFF_SEASON_AVG_RUNS_FOR,DIFF_SEASON_AVG_RUNS_AGAINST,DIFF_SEASON_HOME_WIN_PCT,DIFF_SEASON_AWAY_WIN_PCT,DIFF_SEASON_HOME_RUN_DIFF_PER_GAME,DIFF_SEASON_AWAY_RUN_DIFF_PER_GAME,DIFF_ROLLING_WIN_PCT_5,DIFF_ROLLING_RUN_DIFF_5,DIFF_ROLLING_RUNS_FOR_5,DIFF_ROLLING_RUNS_AGAINST_5,DIFF_ROLLING_WIN_PCT_10,DIFF_ROLLING_RUN_DIFF_10,DIFF_ROLLING_RUNS_FOR_10,DIFF_ROLLING_RUNS_AGAINST_10,DIFF_ROLLING_WIN_PCT_20,DIFF_ROLLING_RUN_DIFF_20,DIFF_ROLLING_RUNS_FOR_20,DIFF_ROLLING_RUNS_AGAINST_20,DIFF_DAYS_REST,DIFF_GAMES_LAST_3_DAYS,DIFF_GAMES_LAST_5_DAYS,DIFF_RUNS_ALLOWED_LAST_3_DAYS,DIFF_BULLPEN_FATIGUE_PROXY,DIFF_PROJECTED_LINEUP_STRENGTH,DIFF_PITCHER_TEAM_WIN_PCT,DIFF_PITCHER_RUNS_ALLOWED_PER_START,DIFF_PITCHER_RUN_SUPPORT_PER_START,DIFF_PITCHER_STARTS,DIFF_PITCHER_DAYS_REST
634580,2021-04-03,2021,R,Philadelphia Phillies,Atlanta Braves,1,0.5504449227813737,1.02,11.172385326556196,1.0,2.0,1.0,-1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,2.0,1.0,-1.0,1.0,2.0,1.0,-1.0,0.0,0.0,0.0,-1.0,-0.040000000000000036,1.0,0.0,0.0,0.0,0.0,0.0
634596,2021-04-03,2021,R,Miami Marlins,Tampa Bay Rays,1,0.49825383847017585,0.94,-25.213362239930575,-1.0,-3.0,-1.5,1.5,-0.5,-0.5,-1.5,-1.5,-1.0,-3.0,-1.5,1.5,-1.0,-3.0,-1.5,1.5,-1.0,-3.0,-1.5,1.5,0.0,0.0,0.0,3.0,0.1200000000000001,-1.5,0.0,0.0,0.0,0.0,0.0
634604,2021-04-03,2021,R,Kansas City Royals,Texas Rangers,1,0.5504449227813737,1.01,11.172385326556196,1.0,8.0,4.0,-4.0,0.5,0.5,4.0,4.0,1.0,8.0,4.0,-4.0,1.0,8.0,4.0,-4.0,1.0,8.0,4.0,-4.0,0.0,0.0,0.0,-4.0,-0.15999999999999992,3.999999999999999,0.0,0.0,0.0,0.0,0.0
634623,2021-04-03,2021,R,San Diego Padres,Arizona Diamondbacks,1,0.5657610493144896,0.95,21.961707179803398,1.0,3.0,1.5,-1.5,0.5,0.5,1.5,1.5,1.0,3.0,1.5,-1.5,1.0,3.0,1.5,-1.5,1.0,3.0,1.5,-1.5,0.0,0.0,0.0,-3.0,-0.11999999999999988,1.5,0.0,0.0,0.0,0.0,0.0
634629,2021-04-03,2021,R,Oakland Athletics,Houston Astros,0,0.49825383847017585,0.96,-25.213362239930575,-1.0,-11.0,-5.5,5.5,-0.5,-0.5,-5.5,-5.5,-1.0,-11.0,-5.5,5.5,-1.0,-11.0,-5.5,5.5,-1.0,-11.0,-5.5,5.5,0.0,0.0,0.0,11.0,0.43999999999999995,-5.5,0.0,0.0,0.0,0.0,0.0
634633,2021-04-03,2021,R,Colorado Rockies,Los Angeles Dodgers,0,0.5315634100164413,1.18,-2.0382928201966024,0.0,-2.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,-1.0,1.0,0.0,-2.0,-1.0,1.0,0.0,-2.0,-1.0,1.0,0.0,0.0,0.0,2.0,0.07999999999999985,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0
634639,2021-04-03,2021,R,Seattle Mariners,San Francisco Giants,1,0.5315634100164413,0.95,-2.0382928201966024,0.0,-2.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,-1.0,1.0,0.0,-2.0,-1.0,1.0,0.0,-2.0,-1.0,1.0,0.0,0.0,0.0,2.0,0.08000000000000007,-1.0,0.0,0.0,0.0,0.0,0.0
634643,2021-04-03,2021,R,Chicago Cubs,Pittsburgh Pirates,1,0.5160728152702749,1.02,-12.827614673443804,-1.0,-4.0,-2.0,2.0,-0.5,-0.5,-2.0,-2.0,-1.0,-4.0,-2.0,2.0,-1.0,-4.0,-2.0,2.0,-1.0,-4.0,-2.0,2.0,0.0,0.0,0.0,2.0,0.08000000000000007,-2.0,0.0,0.0,0.0,0.0,0.0
634644,2021-04-03,2021,R,New York Yankees,Toronto Blue Jays,1,0.5160728152702749,1.03,-12.827614673443804,-1.0,-2.0,-1.0,1.0,-0.5,-0.5,-1.0,-1.0,-1.0,-2.0,-1.0,1.0,-1.0,-2.0,-1.0,1.0,-1.0,-2.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.040000000000000036,-1.0,0.0,0.0,0.0,0.0,0.0
634646,2021-04-03,2021,R,Los Angeles Angels,Chicago White Sox,1,0.5315634100164413,0.98,-2.0382928201966024,0.0,-3.0,-1.5,1.5,0.0,0.0,-1.5,-1.5,0.0,-3.0,-1.5,1.5,0.0,-3.0,-1.5,1.5,0.0,-3.0,-1.5,1.5,0.0,0.0,0.0,3.0,0.11999999999999988,-1.5000000000000009,0.0,0.0,0.0,0.0,0.0
634654,2021-04-03,2021,R,Cincinnati Reds,St. Louis Cardinals,1,0.5160728152702749,1.06,-12.827614673443804,-1.0,-10.0,-5.0,5.0,-0.5,-0.5,-5.0,-5.0,-1.0,-10.0,-5.0,5.0,-1.0,-10.0,-5.0,5.0,-1.0,-10.0,-5.0,5.0,0.0,0.0,0.0,5.0,0.20000000000000007,-5.000000000000001,0.0,0.0,0.0,0.0,0.0
634557,2021-04-04,2021,R,Colorado Rockies,Los Angeles Dodgers,0,0.5132427896249003,1.18,-14.795814660591077,-0.3333333333333333,-2.0,-1.0,1.0,-0.16666666666666669,-0.16666666666666663,-1.0,-1.0,-0.3333333333333333,-2.0,-1.0,1.0,-0.3333333333333333,-2.0,-1.0,1.0,-0.3333333333333333,-2.0,-1.0,1.0,0.0,0.0,0.0,3.0,0.1200000000000001,-0.9999999999999991,0.0,0.0,0.0,0.0,0.0
634560,2021-04-04,2021,R,Cincinnati Reds,St. Louis Cardinals,1,0.5327456702585897,1.06,-1.213362239930575,0.0,-2.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,-1.0,1.0,0.0,-2.0,-1.0,1.0,0.0,-2.0,-1.0,1.0,0.0,0.0,0.0,2.0,0.08000000000000007,-0.9999999999999991,0.0,0.0,0.0,0.0,0.0
634572,2021-04-04,2021,R,San Diego Padres,Arizona Diamondbacks,0,0.5804373915667473,0.95,32.38344199625544,1.0,6.666666666666667,3.333333333333333,-3.333333333333333,0.5,0.5,3.3333333333333335,3.3333333333333335,1.0,6.666666666666667,3.333333333333333,-3.333333333333333,1.0,6.666666666666667,3.333333333333333,-3.333333333333333,1.0,6.666666666666667,3.333333333333333,-3.333333333333333,0.0,0.0,0.0,-10.0,-0.3999999999999999,3.333333333333333,0.0,0.0,0.0,0.0,0.0
634593,2021-04-04,2021,R,Kansas City Royals,Texas Rangers,0,0.5657610493144896,1.01,21.961707179803398,1.0,11.0,5.5,-5.5,0.5,0.5,5.5,5.5,1.0,11.0,5.5,-5.5,1.0,11.0,5.5,-5.5,1.0,11.0,5.5,-5.5,0.0,0.0,0.0,-11.0,-0.4399999999999997,5.5,0.0,0.0,0.0,0.0,0.0
634597,2021-04-04,2021,R,Milwaukee Brewers,Minnesota Twins,0,0.5315634100164413,1.0,-2.0382928201966024,0.0,-1.0,-0.5,0.5,0.0,0.0,-0.5,-0.5,0.0,-1.0,-0.5,0.5,0.0,-1.0,-0.5,0.5,0.0,-1.0,-0.5,0.5,0.0,0.0,0.0,1.0,0.040000000000000036,-0.5,0.0,0.0,0.0,0.0,0.0
634607,2021-04-04,2021,R,New York Yankees,Toronto Blue Jays,0,0.5327456702585897,1.03,-1.213362239930575,0.0,1.0,0.5,-0.5,0.0,0.0,0.5,0.5,0.0,1.0,0.5,-0.5,0.0,1.0,0.5,-0.5,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,-1.0,-0.040000000000000036,0.5,0.0,0.0,0.0,0.0,0.0
634610,2021-04-04,2021,R,Boston Red Sox,Baltimore Orioles,0,0.49825383847017585,1.05,-25.213362239930575,-1.0,-5.0,-2.5,2.5,-0.5,-0.5,-2.5,-2.5,-1.0,-5.0,-2.5,2.5,-1.0,-5.0,-2.5,2.5,-1.0,-5.0,-2.5,2.5,0.0,0.0,0.0,5.0,0.19999999999999996,-2.5,0.0,0.0,0.0,0.0,0.0
634611,2021-04-04,2021,R,Detroit Tigers,Cleveland Indians,0,0.5657610493144896,0.97,21.961707179803398,1.0,4.0,2.0,-2.0,0.5,0.5,2.0,2.0,1.0,4.0,2.0,-2.0,1.0,4.0,2.0,-2.0,1.0,4.0,2.0,-2.0,0.0,0.0,0.0,-4.0,-0.16000000000000014,2.0,0.0,0.0,0.0,0.0,0.0
634613,2021-04-04,2021,R,Chicago Cubs,Pittsburgh Pirates,1,0.5327456702585897,1.02,-1.213362239930575,0.0,2.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,-1.0,0.0,2.0,1.0,-1.0,0.0,2.0,1.0,-1.0,0.0,0.0,0.0,-2.0,-0.08000000000000007,1.0,0.0,0.0,0.0,0.0,0.0
